IDX	LABEL	PC	UI	CLKTA CS0 CS1 CA WCKT	RDQST	DMI0	DMI1	DATA_e	DATA_o 
000011          -      2  0 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000011          -      2  1 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000011          -      2  2 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000011          -      2  3 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000011          -      2  4 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000011          -      2  5 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000011          -      2  6 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000011          -      2  7 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000011          -      2  8 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000011          -      2  9 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000011          -      2 10 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000011          -      2 11 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000011          -      2 12 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000011          -      2 13 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000011          -      2 14 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000011          -      2 15 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000012          -      2  0 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000012          -      2  1 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000012          -      2  2 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000012          -      2  3 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000012          -      2  4 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000012          -      2  5 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000012          -      2  6 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000012          -      2  7 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000012          -      2  8 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
