DO	HB	HTEMP	tPD_F	tPD	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	run	wf	x	y	lot	test
1	2	126	60.71	61.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	16	15	68	EUO2949JO2	0
2	2	128	61.58	60.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	16	15	70	EUO2949JO2	0
1	2	128	61.58	62.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	23	21	88	EUO2949JO2	0
2	2	128	64.58	61.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	23	21	90	EUO2949JO2	0
1	2	130	61.96	60.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	16	13	58	EUO2949JO2	0
2	2	127	59.46	59.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	16	13	60	EUO2949JO2	0
1	2	128	63.71	60.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO416	11	55	85	EUO2949JO2	0
2	2	127	62.46	60.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO416	11	55	87	EUO2949JO2	0
1	6	126	58.08	56.33	30	26	58	59	60	70	61	71	66	0	0	0	0	0	0	0	0	0	0	0	EUO294	23	19	106	EUO2949JO2	0
2	6	127	59.83	58.08	30	26	58	59	60	70	61	71	66	0	0	0	0	0	0	0	0	0	0	0	EUO294	23	19	108	EUO2949JO2	0
1	6	127	61.58	60.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	23	24	73	EUO2949JO2	0
2	6	126	63.71	61.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	23	24	71	EUO2949JO2	0
1	6	129	63.71	60.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	23	19	82	EUO2949JO2	0
2	6	127	65.46	62.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	23	19	84	EUO2949JO2	0
1	2	127	60.71	61.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	16	16	88	EUO2949JO2	0
2	2	128	61.58	59.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	16	16	86	EUO2949JO2	0
1	2	128	58.96	57.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	16	11	67	EUO2949JO2	0
2	2	128	58.96	58.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	16	11	69	EUO2949JO2	0
1	2	128	58.08	57.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	16	17	42	EUO2949JO2	0
2	2	127	57.21	56.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	16	17	44	EUO2949JO2	0
1	2	129	64.58	63.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO416	11	50	74	EUO2949JO2	0
2	2	127	62.46	61.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO416	11	50	72	EUO2949JO2	0
1	2	128	62.83	61.96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO416	11	55	98	EUO2949JO2	0
2	2	128	61.58	61.96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO416	11	55	100	EUO2949JO2	0
1	2	125	61.58	59.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	23	20	98	EUO2949JO2	0
2	2	127	61.58	59.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	23	20	96	EUO2949JO2	0
1	6	127	58.08	57.21	60	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	23	17	93	EUO2949JO2	0
2	6	127	60.71	59.83	60	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EUO294	23	17	95	EUO2949JO2	0
