DO	HB	NB	V43	run	wf	x	y	test
4	2	0	4122	PCI033	7	49	50	0
1	2	0	3190	PCI033	4	48	48	0
3	2	0	4122	PCI033	7	43	41	0
2	2	0	4122	PCI033	4	48	50	0
4	2	0	3190	PCI033	7	46	43	0
1	2	0	3190	PCI033	4	41	49	0
3	2	0	3190	PCI033	7	38	45	0
2	2	0	3190	PCI033	4	40	50	0
4	2	0	4122	PCI033	7	39	45	0
1	2	0	3190	PCI033	4	32	63	0
3	2	0	3190	PCI033	7	40	35	0
2	2	0	3190	PCI033	4	30	63	0
4	2	0	3190	PCI033	7	46	37	0
1	6	1782	4122	PCI033	4	50	50	0
3	6	0	3190	PCI033	7	35	38	0
2	6	0	4122	PCI033	4	49	53	0
4	6	0	3091	PCI033	7	39	38	0
1	6	0	3190	PCI033	4	43	45	0
3	6	0	3190	PCI033	7	36	46	0
2	6	2398	3190	PCI033	4	43	47	0
4	6	0	4122	PCI033	7	37	46	0
1	6	1406	3190	PCI033	4	30	38	0
3	6	0	3190	PCI033	7	35	60	0
2	6	0	3190	PCI033	4	36	38	0
4	6	0	3190	PCI033	7	34	60	0
1	8	863	0	W0A000	0	0	0	0
3	8	863	0	W0A000	0	0	0	0
2	8	863	0	W0A000	0	0	0	0
4	8	863	0	W0A000	0	0	0	0
1	6	4001	3190	PCI033	4	48	43	0
3	6	4001	3190	PCI033	7	23	55	0
2	6	4001	4122	PCI033	4	49	45	0
4	6	4001	3190	PCI033	7	22	52	0
1	7	801	0	PCI033	4	28	51	0
3	7	0	0	PCI033	7	38	51	0
2	7	0	0	PCI033	4	27	49	0
4	7	0	0	PCI033	7	35	52	0
1	6	0	4122	PCI033	4	25	54	0
3	6	0	3190	PCI033	7	29	54	0
2	6	0	3190	PCI033	4	24	53	0
4	6	2398	3190	PCI033	7	27	54	0
1	6	1781	3190	PCI033	4	44	47	0
3	6	0	3190	PCI033	7	27	48	0
2	6	0	4122	PCI033	4	44	48	0
4	6	0	3190	PCI033	7	27	47	0
1	2	0	4122	PCI033	4	44	49	0
3	2	0	3190	PCI033	7	31	45	0
2	2	0	3190	PCI033	4	42	49	0
4	2	0	3190	PCI033	7	34	45	0
1	2	0	4122	PCI033	4	22	39	0
3	2	0	4122	PCI033	7	34	62	0
2	2	0	3190	PCI033	4	25	38	0
4	2	0	3190	PCI033	7	30	60	0
1	2	0	4122	PCI033	4	52	50	0
3	2	0	3190	PCI033	7	28	37	0
2	2	0	3190	PCI033	4	51	53	0
4	2	0	3190	PCI033	7	30	36	0
1	2	0	3190	PCI033	5	39	53	0
3	2	0	4122	PCI033	9	30	54	0
2	2	0	3190	PCI033	5	38	53	0
4	2	0	4122	PCI033	9	37	54	0
1	2	0	3190	PCI033	4	20	44	0
3	2	0	4122	PCI033	7	41	59	0
2	2	0	3190	PCI033	4	22	40	0
4	2	0	3190	PCI033	7	39	60	0
1	2	0	4122	PCI033	4	30	43	0
3	2	0	3190	PCI033	7	39	53	0
2	2	0	3190	PCI033	4	31	43	0
4	2	0	4122	PCI033	7	38	53	0
1	2	0	3190	PCI033	5	32	51	0
3	2	0	3190	PCI033	9	44	54	0
2	2	0	3190	PCI033	5	31	51	0
4	2	0	3190	PCI033	9	45	54	0
1	6	1322	3190	PCI033	4	26	57	0
3	6	0	4122	PCI033	7	49	48	0
2	6	0	4122	PCI033	4	23	56	0
